name,wpm,accuracy,time,date
Raman,405,100,4,2026-04-22 23:47:52.092525
Raman,333,100,5,2026-04-22 23:57:20.425975
Raman,376,100,5,2026-04-23 00:10:49.179285
Raman,0,100,0,2026-04-23 00:22:55.087097
Raman,30,100,56,2026-04-23 00:32:18.028685
Raman,376,100,5,2026-04-23 10:32:50.548896
R,0,89,0,2026-04-23 20:41:35.485881
R,52,100,33,2026-04-23 20:42:23.151224
Raman,88,100,21,2026-04-25 16:31:12.285214
Raman,510,100,7,2026-04-28 22:44:56.289511
Deep,0,100,0,2026-06-23 15:15:17.982527
Deep,159,100,11,2026-06-23 15:16:25.986795
Deep,105,99,16,2026-06-23 15:16:50.484498
Deep,338,99,5,2026-06-23 15:17:12.439981